"INSTNM","STABBR","ZIP","LOCALE","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Rosemont College","PA","19010-1699",21,2,46,58,41
"Saint Francis University","PA","15940",31,2,74,64,81
"Saint Joseph's University","PA","19131-1395",11,2,83,82,84
"Saint Vincent College","PA","15650-2690",21,2,73,69,78
"University of Scranton","PA","18510-4699",13,2,79,74,82
"Seton Hill University","PA","15601",21,2,67,62,69
"Shippensburg University of Pennsylvania","PA","17257-2299",31,2,58,55,61
"Slippery Rock University of Pennsylvania","PA","16057-1383",32,2,68,65,71
"Saint Charles Borromeo Seminary-Overbrook","PA","19096",21,2,57,57,
"Susquehanna University","PA","17870-1025",32,2,74,68,80
"Swarthmore College","PA","19081",21,2,94,95,93
"Talmudical Yeshiva of Philadelphia","PA","19131",11,2,47,47,
"Temple University","PA","19122-6096",11,2,75,73,77
"Thiel College","PA","16125-2181",31,2,47,41,58
"Thomas Jefferson University","PA","19107",11,2,71,63,75
"Ursinus College","PA","19426-1000",21,2,72,67,78
"University of Valley Forge","PA","19460-2373",21,2,55,52,58
"Villanova University","PA","19085-1699",21,2,91,89,93
"Washington & Jefferson College","PA","15301",21,2,76,75,77
"Waynesburg University","PA","15370-1257",32,2,67,65,68
"West Chester University of Pennsylvania","PA","19383",21,2,73,67,76
"Westminster College","PA","16172",31,2,73,64,80
"Widener University","PA","19013-5792",21,2,68,66,70
"Wilkes University","PA","18766",13,2,61,62,60
"Wilson College","PA","17201-1285",13,2,53,39,57
"Yeshivath Beth Moshe","PA","18505-2196",13,2,11,11,
"York College of Pennsylvania","PA","17403-3651",22,2,65,64,67
"Brown University","RI","02912",12,1,96,95,97
"Bryant University","RI","02917-1291",21,1,84,81,87
"Johnson & Wales University-Providence","RI","02903-3703",12,1,57,54,60
"New England Institute of Technology","RI","02818-1205",21,1,,,
"Providence College","RI","02918-0001",12,1,89,87,91
"Rhode Island College","RI","02908",21,1,46,44,46
"University of Rhode Island","RI","02881",21,1,69,65,73
"Rhode Island School of Design","RI","02903-2784",12,1,89,85,90
"Roger Williams University","RI","02809-2921",21,1,70,66,74
"Salve Regina University","RI","02840-4192",21,1,73,67,75
"Northpoint Bible College","MA","01835",21,1,53,55,52
"Allen University","SC","29204",12,5,23,15,31
"Anderson University","SC","29621-4035",13,5,64,56,67
"Charleston Southern University","SC","29406-9121",12,5,49,43,53
"Benedict College","SC","29204-1086",12,5,25,17,33
"Bob Jones University","SC","29614-0001",13,5,66,63,68
"Southern Wesleyan University","SC","29630-1020",21,5,52,47,60
"College of Charleston","SC","29424-0001",12,5,67,61,70
"Citadel Military College of South Carolina","SC","29409",12,5,73,74,69
"Claflin University","SC","29115-4498",32,5,51,42,56
"Clemson University","SC","29634",21,5,85,81,89
"Clinton College","SC","29730",13,5,80,100,75
"Coker University","SC","29550",32,5,37,34,40
"Columbia International University","SC","29203-1513",12,5,60,50,68
"Columbia College","SC","29203",12,5,54,,54
"Converse University","SC","29302-0006",13,5,57,,57
"Erskine College","SC","29639",42,5,40,35,48
"Francis Marion University","SC","29506",23,5,43,36,47
"Furman University","SC","29613-6162",21,5,82,80,83
"Greenville Technical College","SC","29606",13,5,,,
"Lander University","SC","29649-2099",32,5,53,52,54
"Limestone University","SC","29340-3799",31,5,30,26,38
"Morris College","SC","29150-3599",13,5,25,25,24
"Newberry College","SC","29108",32,5,54,48,61
"North Greenville University","SC","29688-1892",41,5,57,52,64
"Presbyterian College","SC","29325",32,5,60,55,64
"University of South Carolina Aiken","SC","29801",21,5,43,37,46
"University of South Carolina Beaufort","SC","29909",31,5,30,25,32
"University of South Carolina-Columbia","SC","29208",12,5,78,74,81
"Coastal Carolina University","SC","29526",13,5,51,47,54
"South Carolina State University","SC","29117-0001",32,5,30,25,36
"University of South Carolina-Upstate","SC","29303-4999",22,5,47,37,53
"Spartanburg Methodist College","SC","29301-5899",22,5,,,
"Voorhees College","SC","29042",32,5,32,27,36
"Winthrop University","SC","29733",13,5,58,53,61
"Wofford College","SC","29303-3663",13,5,80,74,86
"Augustana University","SD","57197-0001",12,4,71,68,72
"Black Hills State University","SD","57799-9500",32,4,42,30,52
"Dakota State University","SD","57042-1799",32,4,45,42,50
"Dakota Wesleyan University","SD","57301-4398",33,4,49,47,51
"Mount Marty University","SD","57078-3724",33,4,61,58,62
"National American University-Rapid City","SD","57701-2823",13,4,13,0,25
"Northern State University","SD","57401-7198",33,4,56,52,60
"Oglala Lakota College","SD","57752-0490",43,4,7,4,8
"Presentation College","SD","57401-1280",33,4,33,29,40
"South Dakota School of Mines and Technology","SD","57701-3995",13,4,52,50,59
"South Dakota State University","SD","57007-1898",33,4,59,55,64
"Sinte Gleska University","SD","57555-0105",43,4,0,0,0
"University of Sioux Falls","SD","57105-1699",12,4,58,57,58
"University of South Dakota","SD","57069-2390",32,4,60,53,65
"American Baptist College","TN","37207-9980",11,5,10,17,0
"Austin Peay State University","TN","37044",12,5,40,34,44
"Baptist Health Sciences University","TN","38104",11,5,59,75,56
"Belmont University","TN","37212-3757",11,5,68,63,71
"Bethel University","TN","38201",32,5,35,36,34
"Bryan College-Dayton","TN","37321",32,5,60,56,64
"Carson-Newman University","TN","37760",23,5,56,47,62
"Christian Brothers University","TN","38104",11,5,59,52,67
"Cumberland University","TN","37087",31,5,53,43,74
"Lipscomb University","TN","37204-3951",11,5,71,65,75
"Hussian College-Daymar College Nashville","TN","37214",11,5,71,40,78
"East Tennessee State University","TN","37614",13,5,51,43,57
"Fisk University","TN","37208-4501",11,5,45,39,47
"Welch College","TN","37066-8460",41,5,49,53,45
"Freed-Hardeman University","TN","38340-2399",32,5,65,63,66
"Johnson University","TN","37998",41,5,62,59,66
"King University","TN","37620-2699",13,5,45,41,49
"South College","TN","37909-0000",12,5,49,22,57
"Lane College","TN","38301-4598",13,5,24,20,31
"Le Moyne-Owen College","TN","38126-6595",11,5,18,12,22
"Lee University","TN","37311",13,5,58,46,64
"Lincoln Memorial University","TN","37752-9900",32,5,57,50,61
"The University of Tennessee Southern","TN","38478-2799",32,5,32,26,37
"Maryville College","TN","37804-5907",21,5,56,48,65
"University of Memphis","TN","38152",11,5,54,48,60
"Middle Tennessee State University","TN","37132",12,5,54,51,56
"Rhodes College","TN","38112-1690",11,5,85,82,88
"The University of the South","TN","37383-1000",42,5,80,78,82
"Southern Adventist University","TN","37315-0370",21,5,57,53,60
"Tennessee Wesleyan University","TN","37303",32,5,52,32,64
"The University of Tennessee-Chattanooga","TN","37403-2598",12,5,54,47,58
"The University of Tennessee-Knoxville","TN","37996",12,5,72,67,77
"The University of Tennessee-Martin","TN","38238",33,5,52,53,51
"Tennessee State University","TN","37209-1561",11,5,31,27,33
"Tennessee Technological University","TN","38505-0001",33,5,60,55,66
"Trevecca Nazarene University","TN","37210",11,5,49,47,51
"Tusculum University","TN","37743",32,5,40,32,48
"Union University","TN","38305-3697",13,5,68,75,64
"Vanderbilt University","TN","37240",11,5,93,93,94
"Abilene Christian University","TX","79699",12,6,60,55,63
"Angelo State University","TX","76909",13,6,45,41,47
"Arlington Baptist University","TX","76012-3425",11,6,23,14,36
"The Art Institute of Houston","TX","77027-9625",11,6,35,30,40
"Austin College","TX","75090-4400",13,6,68,66,70
"Austin Community College District","TX","78752",11,6,,,
"Baptist Missionary Association Theological Seminary","TX","75766-5407",32,6,100,100,
"Baylor University","TX","76798",12,6,82,80,83
"Remington College-Dallas Campus","TX","75041",21,6,60,60,60
"Brazosport College","TX","77566",23,6,,,
"Concordia University Texas","TX","78726",11,6,37,34,41
"Texas A & M University-Corpus Christi","TX","78412-5503",11,6,36,32,39
"Dallas Baptist University","TX","75211-9299",11,6,61,57,63
"Dallas Christian College","TX","75234-7299",21,6,19,18,21
"University of Dallas","TX","75062-4736",11,6,72,67,75
"Del Mar College","TX","78404-3897",11,6,,,
"East Texas Baptist University","TX","75670-1498",32,6,45,39,51
"Texas A&M University-Texarkana","TX","75503",41,6,24,20,26
"Texas A & M University-Commerce","TX","75429-3011",32,6,42,36,47
"Dallas College","TX","75215-3604",11,6,,,
"Western Technical College","TX","79924",11,6,,,
"Western Technical College","TX","79927",11,6,,,
"Miami International University of Art & Design-Art Institute Dallas","TX","75231-5993",11,6,17,16,18
"Galveston College","TX","77550-7496",31,6,,,
"Grayson College","TX","75020-8299",41,6,,,
"Hallmark University","TX","78230-1736",11,6,57,55,62
"Hardin-Simmons University","TX","79698-0001",12,6,52,48,55
"Trinity Valley Community College","TX","75751",32,6,,,
"Houston Baptist University","TX","77074-3298",11,6,44,36,49
"University of Houston-Clear Lake","TX","77058-1002",21,6,53,47,59
"University of Houston-Downtown","TX","77002-1014",11,6,30,22,36
"University of Houston-Victoria","TX","77901",13,6,22,18,25
"University of Houston","TX","77204-2018",11,6,62,56,68
"Howard Payne University","TX","76801-2794",33,6,35,27,47
"Huston-Tillotson University","TX","78702-2795",11,6,33,37,28
"University of the Incarnate Word","TX","78209",11,6,58,53,61
"Jarvis Christian University","TX","75765-1470",42,6,36,47,30
"Lamar University","TX","77705",12,6,39,33,43
"Laredo College","TX","78040-4395",11,6,,,
"Texas A & M International University","TX","78041-1900",11,6,49,41,55
"LeTourneau University","TX","75602",13,6,64,63,65
"Lubbock Christian University","TX","79407-2099",11,6,43,43,43
"College of the Mainland","TX","77591-2499",22,6,,,
"University of Mary Hardin-Baylor","TX","76513-2599",23,6,53,41,60
"McMurry University","TX","79697",12,6,31,21,48
"Midland College","TX","79705",12,6,,,
"Midwestern State University","TX","76308-2099",12,6,47,40,52
"Wade College","TX","75207",11,6,,,
"Lone Star College System","TX","77381-4399",12,6,,,
"University of North Texas","TX","76203-1277",12,6,60,54,66
"Odessa College","TX","79764",12,6,,,
"Our Lady of the Lake University","TX","78207-4689",11,6,35,32,37
"The University of Texas Rio Grande Valley","TX","78539-2999",12,6,51,44,57
"Paul Quinn College","TX","75241",11,6,23,22,24
"Prairie View A & M University","TX","77446",32,6,42,35,46
"Rice University","TX","77005-1827",11,6,92,91,94
"Saint Edward's University","TX","78704-6489",11,6,66,64,67
"University of St Thomas","TX","77006-4696",11,6,62,51,66
"Sam Houston State University","TX","77340",32,6,57,52,60
"San Jacinto Community College","TX","77505",21,6,,,
"Schreiner University","TX","78028-5697",33,6,45,44,46
"St. Mary's University","TX","78228",11,6,59,52,65
"Southern Methodist University","TX","75275-0221",21,6,82,78,87
"Southwestern Assemblies of God University","TX","75165",21,6,52,39,63
"Southwestern University","TX","78626",13,6,74,69,77
"Stephen F Austin State University","TX","75961",33,6,53,44,58
"Texas State University","TX","78666",13,6,57,52,60
"Southwestern Adventist University","TX","76059",31,6,42,37,47
"Southwestern Christian College","TX","75160-4812",32,6,67,67,
"Sul Ross State University","TX","79832",33,6,29,21,38
"Tarleton State University","TX","76401-0000",33,6,49,48,50
"Texas A & M University-Kingsville","TX","78363",32,6,43,39,49
"Texas A & M University-College Station","TX","77843-1248",12,6,83,81,86
"The University of Texas at Arlington","TX","76013",11,6,51,48,54
"The University of Texas at Austin","TX","78705",11,6,88,85,90
"The University of Texas at Dallas","TX","75080-3021",12,6,72,67,78
"The University of Texas at El Paso","TX","79968-0691",11,6,45,40,50
"The University of Texas at Tyler","TX","75799-6699",12,6,42,35,47
"Texas Christian University","TX","76129",11,6,83,79,85
"Texas College","TX","75702",12,6,17,16,18
"Texas Lutheran University","TX","78155-5999",31,6,54,46,64
"The University of Texas Permian Basin","TX","79762-0001",12,6,42,37,48
"The University of Texas at San Antonio","TX","78249-1644",11,6,51,48,53
"Texas Southern University","TX","77004",11,6,23,22,24
"Texas Tech University","TX","79409-5005",11,6,63,60,65
"Texas Wesleyan University","TX","76105-1536",11,6,26,20,34
"Texas Woman's University","TX","76204",12,6,48,30,50
"Trinity University","TX","78212-7200",11,6,80,78,81
"Tyler Junior College","TX","75701",12,6,,,
"Wayland Baptist University","TX","79072",33,6,25,17,39
"Weatherford College","TX","76086-5699",31,6,,,
"West Texas A & M University","TX","79016-0001",31,6,46,38,52
"Wiley College","TX","75670",32,6,27,24,30
"Brigham Young University","UT","84602",12,7,77,73,80
"Brigham Young University-Hawaii","HI","96762-1294",31,8,49,57,47
"Broadview College","UT","84088",21,7,0,,0
"Dixie State University","UT","84770-3876",13,7,25,18,29
"Eagle Gate College-Murray","UT","84123-6965",21,7,36,0,42
"Ensign College","UT","84101-3500",12,7,,,
"Snow College","UT","84627",33,7,100,100,100
"Southern Utah University","UT","84720",33,7,47,49,47
"Utah State University","UT","84322-1400",13,7,55,55,55
"Utah Valley University","UT","84058-5999",13,7,33,30,37
"University of Utah","UT","84112-9008",12,7,67,65,70
"Weber State University","UT","84408-1001",13,7,40,33,46
"Westminster College","UT","84105",12,7,63,59,67
"Bennington College","VT","05201-6003",32,1,68,71,66
"Castleton University","VT","05735",32,1,54,52,57
"Champlain College","VT","05401",13,1,68,63,78
"Goddard College","VT","05667-9432",42,1,50,40,60
"Northern Vermont University","VT","05656-9464",42,1,36,33,40
"Middlebury College","VT","05753",32,1,91,91,92
"Norwich University","VT","05663-1035",32,1,62,59,72
"Saint Michael's College","VT","05439",22,1,78,76,80
"Sterling College","VT","05827-0072",43,1,36,30,40
"Vermont Technical College","VT","05061",43,1,35,39,19
"University of Vermont","VT","05405-0160",13,1,77,71,81
"Averett University","VA","24541",32,5,42,38,46
"Bluefield University","VA","24605",32,5,35,28,46
"Bridgewater College","VA","22812-1599",23,5,62,59,65
"William & Mary","VA","23187-8795",23,5,91,89,93
"Regent University","VA","23464",11,5,63,55,67
"Christopher Newport University","VA","23606-3072",12,5,75,73,76
"Bryant & Stratton College-Virginia Beach","VA","23462",11,5,0,0,0
"Centura College-Virginia Beach","VA","23452-7431",11,5,,,
"Emory & Henry College","VA","24327-0947",41,5,51,44,58
"Eastern Mennonite University","VA","22802-2462",13,5,55,49,60
"Ferrum College","VA","24088-9000",42,5,34,29,43
"George Mason University","VA","22030-4444",21,5,70,65,75
"Hampden-Sydney College","VA","23943-0128",42,5,65,65,0
"Hampton University","VA","23668-0099",12,5,57,52,59
"Hollins University","VA","24020",22,5,59,,59
"James Madison University","VA","22807",13,5,82,77,85
"Liberty University","VA","24515",13,5,65,61,69
"Longwood University","VA","23909",33,5,65,61,67
"University of Lynchburg","VA","24501-3113",13,5,66,58,73
"Mary Baldwin University","VA","24401",13,5,48,,48
"University of Mary Washington","VA","22401-5300",22,5,68,63,71
"Marymount University","VA","22207-4299",12,5,62,59,64
"American National University","VA","24153",22,5,,,
"Norfolk State University","VA","23504-8000",12,5,37,31,42
"Old Dominion University","VA","23529",12,5,49,45,52
"Radford University","VA","24142",23,5,54,46,59
"Randolph-Macon College","VA","23005-5505",21,5,72,71,73
"Randolph College","VA","24503-1555",13,5,56,49,59
"University of Richmond","VA","23173",12,5,89,87,91
"Roanoke College","VA","24153-3794",22,5,70,65,73
"Shenandoah University","VA","22601-5195",13,5,63,61,65
"Southeastern Free Will Baptist Bible College","NC","27591-9072",41,5,50,60,25
"Southern Virginia University","VA","24416",32,5,44,35,52
"Strayer University-Virginia","VA","22201",12,5,23,25,17
"Sweet Briar College","VA","24595-9998",22,5,42,,42
"University of Virginia's College at Wise","VA","24293-4400",32,5,39,36,42
"Virginia Polytechnic Institute and State University","VA","24061-0131",13,5,87,84,90
"Virginia Commonwealth University","VA","23284-2512",12,5,68,61,72
"University of Virginia-Main Campus","VA","22903-2628",23,5,94,92,95
"Virginia Military Institute","VA","24450-0304",32,5,74,73,78
"Virginia University of Lynchburg","VA","24501",13,5,25,33,0
"Virginia State University","VA","23806",21,5,48,41,53
"Virginia Union University","VA","23220",12,5,42,37,45
"Virginia Wesleyan University","VA","23455",11,5,47,41,50
"Washington and Lee University","VA","24450-2116",32,5,94,93,94
"Bellevue College","WA","98007-6484",12,8,,,
"Bellingham Technical College","WA","98225-1599",13,8,,,
"Big Bend Community College","WA","98837-3299",33,8,,,
"Central Washington University","WA","98926",32,8,54,50,57
"Centralia College","WA","98531-4099",32,8,,,
"Clark College","WA","98663-3598",12,8,,,
"Clover Park Technical College","WA","98499-4004",13,8,,,
"Columbia Basin College","WA","99301",22,8,,,
"Cornish College of the Arts","WA","98121",11,8,51,52,51
"Eastern Washington University","WA","99004-2496",31,8,50,48,51
"Edmonds College","WA","98036-5912",21,8,,,
"The Evergreen State College","WA","98505-0001",22,8,43,38,47
"Pierce College District","WA","98498-1999",13,8,,,
"Gonzaga University","WA","99258-0001",12,8,85,82,88
"Grays Harbor College","WA","98520-7599",41,8,,,
"Green River College","WA","98092-3622",13,8,,,
"Heritage University","WA","98948",41,8,53,49,56
"Highline College","WA","98198-9800",21,8,,,
"Lake Washington Institute of Technology","WA","98034-8506",21,8,,,
"Lower Columbia College","WA","98632",13,8,,,
"North Seattle College","WA","98103-3599",11,8,,,
"Northwest University","WA","98083-0579",21,8,57,58,57
"Olympic College","WA","98337-1699",13,8,,,
"Pacific Lutheran University","WA","98447-0003",21,8,69,64,73
"Peninsula College","WA","98362",33,8,,,
"University of Puget Sound","WA","98416",12,8,74,70,77
"Renton Technical College","WA","98056-4123",12,8,,,
"Saint Martin's University","WA","98503-7500",13,8,61,64,59
"South Seattle College","WA","98106-1499",11,8,,,
"Seattle Central College","WA","98122",11,8,,,
"Seattle Pacific University","WA","98119-1997",11,8,66,59,69
"Seattle University","WA","98122-4340",11,8,75,71,77
"Skagit Valley College","WA","98273",13,8,,,
"Spokane Community College","WA","99217-5399",12,8,,,
"Spokane Falls Community College","WA","99224-5288",12,8,,,
"Tacoma Community College","WA","98466-6100",12,8,,,
"Walla Walla Community College","WA","99362-9267",13,8,,,
"Walla Walla University","WA","99324-1198",23,8,63,61,66
"Washington State University","WA","99164-5910",32,8,60,55,64
"University of Washington-Seattle Campus","WA","98195-4550",11,8,84,81,87
"Wenatchee Valley College","WA","98801-1799",13,8,,,
"Western Washington University","WA","98225-9008",13,8,68,65,70
"Whatcom Community College","WA","98226",13,8,,,
"Whitman College","WA","99362",13,8,89,85,91
"Whitworth University","WA","99251",21,8,75,72,77
"Yakima Valley College","WA","98907-2520",13,8,,,
"Alderson Broaddus University","WV","26416-2035",32,5,31,24,41
"Appalachian Bible College","WV","25880-9557",41,5,71,75,69
"Bethany College","WV","26032",41,5,43,36,61
"Bluefield State College","WV","24701-2198",32,5,31,33,28
"University of Charleston","WV","25304",13,5,42,36,47
"Concord University","WV","24712",32,5,42,29,52
"Davis & Elkins College","WV","26241-3996",33,5,49,37,60
"Fairmont State University","WV","26554-2470",32,5,46,46,46
"Glenville State University","WV","26351-1292",33,5,45,41,49
"Marshall University","WV","25755",13,5,53,49,55
"West Virginia University at Parkersburg","WV","26104",23,5,,,
"Potomac State College of West Virginia University","WV","26726",32,5,,,
"Salem University","WV","26426",42,5,22,22,22
"Shepherd University","WV","25443",31,5,44,40,48
"West Virginia State University","WV","25112-1000",22,5,30,26,34
"West Liberty University","WV","26074",41,5,42,64,28
"West Virginia University Institute of Technology","WV","25801",13,5,28,27,30
"West Virginia Wesleyan College","WV","26201-2994",33,5,54,47,60
"West Virginia University","WV","26506",13,5,63,59,67
"Wheeling University","WV","26003",13,5,57,56,58
"Alverno College","WI","53234-3922",11,3,48,,48
"Madison Area Technical College","WI","53704-2599",11,3,,,
"Bellin College","WI","54311",41,3,59,67,58
"Beloit College","WI","53511-5595",13,3,73,70,77
"Cardinal Stritch University","WI","53217-3985",21,3,54,59,52
"Carroll University","WI","53186",13,3,67,67,67
"Carthage College","WI","53140-1994",22,3,68,59,77
"Concordia University-Wisconsin","WI","53097-2402",21,3,60,51,67
"Edgewood College","WI","53711-1997",11,3,62,56,64
"Lakeland University","WI","53073",41,3,42,39,48
"Lawrence University","WI","54911",13,3,80,74,85
"Maranatha Baptist University","WI","53094",31,3,50,46,54
"Marian University","WI","54935-4699",13,3,56,50,59
"Marquette University","WI","53233",11,3,81,77,85
"Milwaukee Institute of Art & Design","WI","53202-6003",11,3,53,56,52
"Milwaukee School of Engineering","WI","53202-3109",11,3,66,61,79
"Mount Mary University","WI","53222-4597",11,3,51,,51
"Northland College","WI","54806-3999",33,3,58,51,67
"Ripon College","WI","54971-0248",32,3,62,61,64
"Saint Norbert College","WI","54115-2099",22,3,78,71,84
"Viterbo University","WI","54601-8804",13,3,65,56,68
"University of Wisconsin-Whitewater","WI","53190-1790",32,3,63,59,68
"University of Wisconsin-Eau Claire","WI","54701",13,3,68,64,71
"University of Wisconsin-Green Bay","WI","54311-7001",12,3,55,50,57
"University of Wisconsin-La Crosse","WI","54601-9959",13,3,73,70,75
"Wisconsin Lutheran College","WI","53226-4699",11,3,61,57,65
"University of Wisconsin-Oshkosh","WI","54901",13,3,55,48,60
"University of Wisconsin-Parkside","WI","53144",22,3,42,42,41
"Herzing University-Madison","WI","53718",11,3,27,33,22
"University of Wisconsin-Stout","WI","54751",32,3,56,52,61
"University of Wisconsin-Superior","WI","54880-4500",22,3,43,38,47
"University of Wisconsin-Madison","WI","53706-1380",11,3,89,87,91
"University of Wisconsin-Milwaukee","WI","53211",11,3,47,45,49
"University of Wisconsin-Platteville","WI","53818-3099",32,3,59,58,62
"University of Wisconsin-River Falls","WI","54022-5001",32,3,57,52,59
"University of Wisconsin-Stevens Point","WI","54481-3897",32,3,55,51,59
"Central Wyoming College","WY","82501",33,7,,,
"Laramie County Community College","WY","82007-3299",23,7,,,
"Northwest College","WY","82435-1898",33,7,,,
"Western Wyoming Community College","WY","82901",33,7,,,
"University of Wyoming","WY","82071",33,7,60,53,67
"American Samoa Community College","AS","96799-2609",33,9,100,,100
"Guam Community College","GU","96913",33,9,,,
"University of Guam","GU","96923",33,9,41,33,48
"Northern Marianas College","MP","96950-1250",33,9,26,17,32
"American University of Puerto Rico","PR","00960-2037",12,9,42,33,52
"American University of Puerto Rico","PR","00674-1082",21,9,40,30,46
"Universidad Adventista de las Antillas","PR","00680-0000",22,9,44,31,50
"Atlantic University College","PR","00970",13,9,44,42,49
"Universidad Central de Bayamon","PR","00960-1725",12,9,36,16,47
"Columbia Central University-Caguas","PR","00726",13,9,35,29,67
"Albizu University-San Juan","PR","00902-3711",11,9,45,36,47
"Caribbean University-Bayamon","PR","00960-0493",12,9,19,12,25
"Caribbean University-Carolina","PR","00985",21,9,25,0,29
"Pontifical Catholic University of Puerto Rico-Arecibo","PR","00614-4045",23,9,30,29,31
"Pontifical Catholic University of Puerto Rico-Ponce","PR","00717-9997",12,9,43,35,48
"CEM College-San Juan","PR","00926-1931",11,9,39,27,45
"Universidad Teologica del Caribe","PR","00978-0901",21,9,33,18,54
"Colegio Universitario de San Juan","PR","00918",11,9,23,13,45
"Universidad Ana G. Mendez-Cupey Campus","PR","00926-2602",11,9,30,23,34
"Conservatory of Music of Puerto Rico","PR","00907-3373",11,9,54,50,63
"EDP University of Puerto Rico Inc-San Sebastian","PR","00685",21,9,100,,100
"Escuela de Artes Plasticas y Diseno de Puerto Rico","PR","00902-1112",11,9,34,33,34
"Huertas College","PR","00725",13,9,,,
"Humacao Community College","PR","00791",21,9,60,50,75
"Inter American University of Puerto Rico-San German","PR","00683",13,9,42,35,47
"Inter American University of Puerto Rico-Aguadilla","PR","00603",21,9,31,21,40
"Inter American University of Puerto Rico-Arecibo","PR","00614",13,9,37,25,44
"Inter American University of Puerto Rico-Barranquitas","PR","00794",21,9,44,29,52
"Inter American University of Puerto Rico-Metro","PR","00919",11,9,32,25,37
"Inter American University of Puerto Rico-Ponce","PR","00715-1602",22,9,34,25,41
"Inter American University of Puerto Rico-Fajardo","PR","00738-7003",23,9,37,31,42
"Inter American University of Puerto Rico-Guayama","PR","00784",13,9,48,36,54
"Inter American University of Puerto Rico-Bayamon","PR","00957-6257",12,9,32,26,39
"NUC University","PR","00960",12,9,22,20,23
"University of Puerto Rico-Aguadilla","PR","00604-6150",21,9,43,42,45
"University of Puerto Rico-Arecibo","PR","00614-4010",13,9,48,41,53
"University of Puerto Rico-Bayamon","PR","00959",12,9,29,23,35
"University of Puerto Rico-Carolina","PR","00984-4800",21,9,44,44,44
"University of Puerto Rico-Cayey","PR","00737-2230",21,9,47,42,50
"University of Puerto Rico-Humacao","PR","00792",21,9,49,44,52
"University of Puerto Rico-Utuado","PR","00641",41,9,12,9,16
"University of Puerto Rico-Mayaguez","PR","00681",13,9,47,38,57
"University of Puerto Rico at Ponce","PR","00716-9996",12,9,46,39,50
"University of Puerto Rico-Rio Piedras","PR","00931-0000",11,9,50,43,54
"Universidad Ana G. Mendez-Carolina Campus","PR","00985-0985",21,9,29,20,35
"Universidad del Sagrado Corazon","PR","00907",11,9,41,31,47
"Universidad Central Del Caribe","PR","00960-6032",12,9,36,100,25
"Universidad Politecnica de Puerto Rico","PR","00919",11,9,22,21,30
"Pontifical Catholic University of Puerto Rico-Mayaguez","PR","00680-1713",13,9,36,25,43
"Universidad Ana G. Mendez-Gurabo Campus","PR","00778-3030",21,9,28,23,32
"College of Micronesia-FSM","FM","96941",-3,9,,,
"University of the Virgin Islands","VI","00802-9990",33,9,32,21,38
"Stanford University","CA","94305",21,8,96,94,97
"Purdue University-Main Campus","IN","47907-2040",13,3,83,81,85
"Parker University","TX","75229-5668",11,6,,,
"EDP University of Puerto Rico Inc-San Juan","PR","00919-2303",11,9,29,50,0
"City College-Fort Lauderdale","FL","33309",12,5,,,
"St. John's College","NM","87505-4599",41,6,72,71,72
"Mid-America Christian University","OK","73170-9797",11,6,36,37,35
"Beckfield College-Florence","KY","41042",21,5,0,0,0
"Landmark College","VT","05346",42,1,,,
"Yeshiva Gedolah of Greater Detroit","MI","48237",21,3,0,0,
"Collin County Community College District","TX","75069",22,6,,,
"ECPI University","VA","23462",11,5,33,37,28
"South University-Columbia","SC","29203",21,5,8,0,10
"Lac Courte Oreilles Ojibwe College","WI","54843",42,3,,,
"Platt College-Los Angeles","CA","91803",21,8,,,
"Platt College-Aurora","CO","80014-3141",11,7,50,0,100
"Northwestern College","IL","60455",21,3,,,
"University of Massachusetts Global","CA","92618",11,8,0,0,
"New College of Florida","FL","34243-2109",13,5,66,67,66
"Yeshivah Gedolah Rabbinical College","FL","33139",13,5,0,0,
"Caribbean University-Ponce","PR","00716-7733",12,9,16,21,7
"Caribbean University-Vega Baja","PR","00964",21,9,50,20,71
"University of Advancing Technology","AZ","85283",12,6,33,35,27
"South Florida Bible College and Theological Seminary","FL","33442",13,5,0,,0
"Pennsylvania College of Technology","PA","17701-5799",13,2,55,54,60
"Stone Child College","MT","59521-9796",43,7,,,
"Southern Technical College","FL","33907-1108",13,5,50,,50
"California State University-San Marcos","CA","92096-0001",21,8,59,52,64
"Hodges University","FL","33966",13,5,15,8,25
"Hussian College-Daymar College Clarksville","TN","37040",12,5,31,50,27
"Nossi College of Art","TN","37115",11,5,78,79,78
"Bryan University","MO","65804",12,4,100,100,100
"Fremont College","CA","90703",21,8,,,
"Yeshiva Gedolah Imrei Yosef D'spinka","NY","11219",11,2,25,25,
"CEM College-Humacao","PR","00791-4210",21,9,42,13,52
"Universal Technology College of Puerto Rico","PR","00603",13,9,17,50,0
"College of the Marshall Islands","MH","96960",-3,9,,,
"Northwest College of Art & Design","WA","98402",12,8,38,0,50
"University of Washington-Bothell Campus","WA","98011-8246",21,8,66,66,66
"University of Washington-Tacoma Campus","WA","98402-3100",12,8,58,58,58
"Valley College-Martinsburg","WV","25404-6203",22,5,,,
"Pacific College of Health and Science","CA","92108-4407",11,8,,,
"Bay Mills Community College","MI","49715",42,3,,,
"Northwest Indian College","WA","98226-9217",41,8,26,27,25
"Provo College","UT","84601",12,7,0,,0
"Beacon College","FL","34748",22,5,72,75,64
"University of the Potomac-Washington DC Campus","DC","20005",11,2,75,67,82
"Rabbi Jacob Joseph School","NJ","08817-4494",21,2,4,4,
"Everglades University","FL","33431",13,5,58,64,52
